id,member,Ticker,Type,Bought,BuyPrice,Amount,Filed,FilePrice,Spot7,Spot30,Spot90,Spot180
20022986,Rick W. Allen,ATVI,P,04/20/2023,,"$1,001 - $15,000",05/05/2023,,,,,
20022986,Rick W. Allen,SSB,S,03/27/2023,69.67101287841797,"$100,001 -$250,000",04/05/2023,66.28150939941406,66.94032287597656,62.75833511352539,,65.4089584350586
20022986,Rick W. Allen,,P,05/18/2023,,"$15,001 -$50,000",05/17/2023,,,,,
20023082,Rick W. Allen,MMM,S,05/14/2020,93.73826599121094,"$15,001",05/20/2020,103.17484283447266,101.50410461425781,107.81108856201172,114.43138885498047,118.81675720214844
20023082,Rick W. Allen,MMM,S,05/14/2020,93.73826599121094,"$1,001 - $15,000",06/05/2020,116.54069519042969,101.50410461425781,107.81108856201172,116.8287582397461,118.81675720214844
20023082,Rick W. Allen,MMM,P,08/22/2019,108.9565200805664,"$15,001 -$50,000",09/05/2019,111.22529602050781,108.60433959960938,112.93876647949219,114.17610931396484,109.51640319824219
20023082,Rick W. Allen,MMM,P,06/19/2019,114.59245300292969,"$15,001",07/05/2019,115.43130493164062,115.35079193115234,115.8407211303711,105.13003540039062,116.64215087890625
20023082,Rick W. Allen,MMM,S,05/17/2019,112.51566314697266,"$1,001 - $15,000",06/05/2019,109.96176147460938,111.46501922607422,111.86770629882812,107.43946075439453,115.50553894042969
20023082,Rick W. Allen,ABT,P,09/27/2019,74.70711517333984,"$15,001 -$50,000",10/05/2019,74.84406280517578,74.84406280517578,74.83248901367188,78.71846008300781,65.11800384521484
20023082,Rick W. Allen,ABT,P,09/13/2019,76.92532348632812,"$15,001 -$50,000",10/05/2019,74.84403228759766,76.29544830322266,72.98114013671875,78.71843719482422,71.87370300292969
20023082,Rick W. Allen,ABBV,P,05/12/2020,75.08891296386719,"$15,001 -$50,000",06/05/2020,77.90286254882812,75.70317840576172,76.58304595947266,77.19007110595703,79.07586669921875
20023082,Rick W. Allen,ABBV,P,11/16/2020,83.76847839355469,"$15,001 -$50,000",12/05/2020,91.36520385742188,87.02178192138672,89.11685943603516,91.93406677246094,101.53729248046875
20023082,Rick W. Allen,ACN,S,03/14/2023,245.599853515625,"$50,001 -$100,000",04/05/2023,273.6636962890625,250.5997772216797,278.5860290527344,,318.9976501464844
20023082,Rick W. Allen,ACN,P,05/13/2021,271.12158203125,"$50,001 -$100,000",05/17/2021,272.71795654296875,269.81982421875,271.08355712890625,308.2217102050781,351.2088317871094
20023082,Rick W. Allen,ACN,P,08/28/2019,182.11395263671875,"$15,001 -$50,000",09/05/2019,184.56570434570312,182.91891479492188,177.0624542236328,185.4423370361328,190.61782836914062
20023082,Rick W. Allen,ACN,S,10/17/2019,172.8614501953125,"$15,001 -$50,000",11/05/2019,173.64199829101562,171.89512634277344,182.86856079101562,193.82650756835938,166.12368774414062
20023082,Rick W. Allen,ACN,P,09/27/2019,177.0624542236328,"$15,001 -$50,000",10/05/2019,175.45262145996094,175.45262145996094,170.10189819335938,194.9384002685547,141.61090087890625
20023082,Rick W. Allen,ALB,P,05/04/2021,156.3609161376953,"$15,001 -$50,000",05/06/2021,147.42929077148438,154.80801391601562,162.20602416992188,199.9518280029297,242.53311157226562
20023082,Rick W. Allen,ALB,P,02/10/2021,150.1304168701172,"$1,001 - $15,000",02/15/2021,,151.4965362548828,151.7022247314453,158.00062561035156,223.67457580566406
20023082,Rick W. Allen,GOOGL,P,02/28/2020,66.72063446044922,"$15,001 -$50,000",03/20/2020,53.21758270263672,64.55299377441406,55.3124885559082,71.44700622558594,81.9095687866211
20023082,Rick W. Allen,GOOGL,P,12/27/2019,67.48735809326172,"$15,001 -$50,000",01/05/2020,67.8301010131836,67.8301010131836,73.04370880126953,54.43765640258789,71.37625885009766
20023082,Rick W. Allen,AMZN,P,09/10/2019,91.02749633789062,"$15,001 -$50,000",10/05/2019,86.98249816894531,91.12750244140625,86.01300048828125,93.74849700927734,95.05449676513672
20023082,Rick W. Allen,AWK,P,09/10/2019,110.67176818847656,"$15,001 -$50,000",10/05/2019,115.20560455322266,111.52361297607422,114.5369873046875,111.28010559082031,130.17681884765625
20023082,Rick W. Allen,AMGN,P,08/29/2019,176.5012969970703,"$15,001 -$50,000",09/05/2019,177.07261657714844,177.07261657714844,166.23428344726562,200.765380859375,181.8746795654297
20023082,Rick W. Allen,AMGN,P,09/27/2019,166.23428344726562,"$15,001 -$50,000",10/05/2019,166.7885284423828,166.7885284423828,173.15003967285156,204.70553588867188,166.97056579589844
20023082,Rick W. Allen,AMGN,P,08/18/2022,232.65464782714844,"$15,001 -$50,000",09/05/2022,,228.9090576171875,215.36158752441406,267.8523864746094,228.11741638183594
20023082,Rick W. Allen,BAYZF,S,06/07/2018,94.50556182861328,"$1,001 - $15,000",07/05/2018,92.32290649414062,94.47297668457031,87.95761108398438,71.70987701416016,58.73613357543945
20023082,Rick W. Allen,BBT,S,04/27/2018,,"$15,001 -$50,000",05/05/2018,,,,,
20023082,Rick W. Allen,BBT,S,06/19/2019,,"$15,001 -$50,000",07/05/2019,,,,,
20023082,Rick W. Allen,BBT,S,03/23/2017,,"$1,001 - $15,000",04/05/2017,,,,,
20023082,Rick W. Allen,BBT,S,03/23/2017,,"$15,001 -$50,000",04/05/2017,,,,,
20023082,Rick W. Allen,BLK,P,09/24/2019,387.5647277832031,"$15,001 -$50,000",10/05/2019,374.6961975097656,380.1748046875,398.5573425292969,444.44561767578125,315.447509765625
